Country,Degree_2011,Degree_2012,Degree_2013,Degree_2014,Degree_2015,Degree_2016,Degree_2017,Degree_2018
Belgium,29.3,30.4,31.5,32.6,32.7,33.2,35.6,36
Bulgaria,19.4,20.8,22.2,23.6,24.1,24.4,24.5,24.8
Czechia,16.1,17.1,18.1,19.1,19.8,20.6,21.4,21.7
Denmark,27.9,28.4,28.9,29.4,30.2,31.1,32.2,32.6
Germany,29.2,27.2,25.2,23.2,23.8,24.4,24.8,25.2
Estonia,31.7,32,32.3,32.6,32,33.1,33.6,34.1
Ireland,35.9,36.6,37.3,38,39,39.5,40.4,40.5
Greece,22.8,23.4,24,24.6,25.4,26.4,27.2,27.7
Spain,29.3,30.1,30.9,31.7,32.1,32.7,33.2,34
France,27.1,28,28.9,29.8,30.5,30.9,31.4,32.8
Croatia,14,15.5,17,18.5,19.7,20,20.6,22
Italy,13.2,13.8,14.4,15,15.5,15.7,16.5,17.1
Cyprus,33.4,34.4,35.4,36.4,36.4,37.6,38.1,39.4
Latvia,27.2,27.1,27,26.9,28.1,29.5,30,30.1
Lithuania,26.6,28.2,29.8,31.4,33.2,34.1,34.8,36.1
Luxembourg,26.4,30.8,35.2,39.6,35.2,36.4,34.1,38.3
Hungary,18.1,18.8,19.5,20.2,20.9,20.6,20.9,21.7
Malta,14.9,16.4,17.9,19.4,19.9,20.3,22.1,24.6
Netherlands,28.5,28.9,29.3,29.7,30.5,31,32.1,33
Austria,25.6,26.2,26.8,27.4,28.1,28.9,29.7,30.1
Poland,20.2,21.4,22.6,23.8,24.4,25.2,26.3,27.2
Portugal,13.4,15.5,17.6,19.7,20.7,21.5,21.7,22.5
Romania,13,13.4,13.8,14.2,15,15.1,15.3,15.5
Slovenia,23,23.7,24.4,25.1,26.6,27.2,28.7,28.7
Slovakia,16.9,17.3,17.7,18.1,18.9,19.7,20.7,22
Finland,31.4,32.5,33.6,34.7,35.5,35.9,36.4,37.3
Sweden,28.6,30,31.4,32.8,34,35.3,36,37.1
Norway,30.4,32.3,34.2,36.1,36.7,36.8,36.8,37.5
Switzerland,29.9,30.9,31.9,32.9,34.2,35.4,36.8,37.7
United Kingdom,33.6,34.6,35.6,36.6,37.6,38.3,38.7,39.3
