Country,Youthunemp_2011,Youthunemp_2012,Youthunemp_2013,Youthunemp_2014,Youthunemp_2015,Youthunemp_2016,Youthunemp_2017,Youthunemp_2018
Belgium,18.9,20,23.9,23.4,22.5,20.3,19.4,16
Bulgaria,28.2,31.2,31.5,26.9,24.7,20.4,16.1,15.9
Czechia,18.1,19.5,19,15.9,12.6,10.5,7.9,6.7
Denmark,16.4,15.8,14.8,14.2,12.2,12.2,12.4,10.5
Germany,9.1,8.6,8.3,8.3,7.7,7.5,7.2,6.6
Estonia,22.3,20.7,18.6,14.9,14.3,14,12.1,12
Ireland,29.6,30.8,26.7,23.4,20.2,16.8,14.4,13.8
Greece,45.2,55.9,59.2,53,50.3,48.2,44.5,41.2
Spain,46.2,52.9,55.5,53.2,48.3,44.4,38.6,34.3
France,24.1,25.8,26.4,25.7,26.1,26,23.5,22
Croatia,36.7,42.1,50,45.5,42.3,31.3,27.4,23.7
Italy,29.2,35.3,40,42.7,40.3,37.7,34.6,32.2
Cyprus,22.4,27.7,38.9,36,32.8,29.1,24.7,20.2
Latvia,31,28.5,23.2,19.6,16.3,17.5,17,12.2
Lithuania,32.6,26.7,21.9,19.3,16.3,14.5,13.3,11.1
Luxembourg,16.8,18.8,15.5,22.6,17.3,18.9,15.4,14.2
Hungary,25.4,27.8,26.1,20.1,17.1,12.7,10.5,9.9
Malta,13.3,13.8,12.7,11.7,11.6,10.7,10.6,9.1
Netherlands,11.4,12.9,14.2,13.8,12.5,12.1,10.4,8.9
Austria,9.5,10,10.3,11,11.3,12,10.5,10
Poland,26,26.8,27.6,24.1,21,17.8,14.9,11.8
Portugal,30.3,38.1,38.3,34.8,32,28,23.9,20.3
Romania,29.4,28.2,29.6,30,27.3,25.9,23,20.5
Slovenia,15.9,20.8,21.6,20.5,16.4,15.3,11.3,8.9
Slovakia,34.8,35.3,34.9,31,27.7,23.4,20,15.8
Finland,20.3,19.5,20.6,20.5,22.5,20.5,20,17.3
Sweden,22.1,23,22.9,22.3,19.7,18.3,17.2,16.8
Norway,10.7,10.7,11.5,10,12.3,13,12.6,11.4
Switzerland,7.7,8.3,8.7,8.6,8.8,8.6,8.1,7.9
United Kingdom,:,:,:,:,:,:,:,:
